traffic_class,metric,n_pairs,forward_mean,extraction_mean,delta_abs,delta_pct,ci95_low,ci95_high
opcua_opn,latency_mean_ms,10,-0.004027,0.000870,0.004897,-121.610420,-0.127080,0.136875
opcua_opn,latency_median_ms,10,0.008857,0.049829,0.040972,462.584118,-0.001623,0.083568
opcua_opn,latency_p95_ms,10,1.314306,0.766468,-0.547838,-41.682691,-2.640127,1.544450
opcua_opn,latency_p99_ms,10,1.314306,0.766468,-0.547838,-41.682691,-2.640127,1.544450
opcua_opn,latency_std_ms,10,0.725382,0.652924,-0.072458,-9.988979,-0.803046,0.658130
opcua_opn,ingress_packets,10,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000
opcua_opn,egress_packets,10,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000
opcua_opn,matched_packets,10,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000
opcua_opn,unmatched_ingress,10,0.000000,0.000000,0.000000,nan,0.000000,0.000000
opcua_opn,unmatched_egress,10,0.000000,0.000000,0.000000,nan,0.000000,0.000000
opcua_opn,drop_rate_pct,10,0.000000,0.000000,0.000000,nan,0.000000,0.000000
opcua_opn,rst_ingress,10,0.000000,0.000000,0.000000,nan,0.000000,0.000000
opcua_opn,rst_egress,10,0.000000,0.000000,0.000000,nan,0.000000,0.000000
opcua_other,latency_mean_ms,10,0.025484,0.016541,-0.008943,-35.092211,-0.018866,0.000980
opcua_other,latency_median_ms,10,-0.143719,-0.218177,-0.074458,51.808228,-0.081282,-0.067635
opcua_other,latency_p95_ms,10,0.472116,0.598145,0.126028,26.694273,0.115817,0.136239
opcua_other,latency_p99_ms,10,1.008558,1.666713,0.658154,65.256962,0.191360,1.124949
opcua_other,latency_std_ms,10,1.157249,1.284933,0.127684,11.033434,0.000624,0.254744
opcua_other,ingress_packets,10,29527.000000,29527.000000,0.000000,0.000000,0.000000,0.000000
opcua_other,egress_packets,10,29527.000000,29527.000000,0.000000,0.000000,0.000000,0.000000
opcua_other,matched_packets,10,29527.000000,29527.000000,0.000000,0.000000,0.000000,0.000000
opcua_other,unmatched_ingress,10,0.000000,0.000000,0.000000,nan,0.000000,0.000000
opcua_other,unmatched_egress,10,0.000000,0.000000,0.000000,nan,0.000000,0.000000
opcua_other,drop_rate_pct,10,0.000000,0.000000,0.000000,nan,0.000000,0.000000
opcua_other,rst_ingress,10,0.000000,0.000000,0.000000,nan,0.000000,0.000000
opcua_other,rst_egress,10,0.000000,0.000000,0.000000,nan,0.000000,0.000000
opcua_all_8666,latency_mean_ms,10,0.014632,0.016260,0.001628,11.127453,-0.003859,0.007115
opcua_all_8666,latency_median_ms,10,-0.010228,-0.022650,-0.012422,121.445221,-0.052500,0.027656
opcua_all_8666,latency_p95_ms,10,0.448918,0.573707,0.124788,27.797546,0.114927,0.134650
opcua_all_8666,latency_p99_ms,10,0.630116,0.974202,0.344086,54.606682,0.202200,0.485972
opcua_all_8666,latency_std_ms,10,0.873609,0.977650,0.104041,11.909281,0.013883,0.194198
opcua_all_8666,ingress_packets,10,59073.900000,59073.800000,-0.100000,-0.000169,-0.506041,0.306041
opcua_all_8666,egress_packets,10,59073.900000,59073.800000,-0.100000,-0.000169,-0.506041,0.306041
opcua_all_8666,matched_packets,10,59073.900000,59073.800000,-0.100000,-0.000169,-0.506041,0.306041
opcua_all_8666,unmatched_ingress,10,0.000000,0.000000,0.000000,nan,0.000000,0.000000
opcua_all_8666,unmatched_egress,10,0.000000,0.000000,0.000000,nan,0.000000,0.000000
opcua_all_8666,drop_rate_pct,10,0.000000,0.000000,0.000000,nan,0.000000,0.000000
opcua_all_8666,rst_ingress,10,29536.900000,29536.800000,-0.100000,-0.000339,-0.506041,0.306041
opcua_all_8666,rst_egress,10,29536.900000,29536.800000,-0.100000,-0.000339,-0.506041,0.306041
